brandstof_omschrijving,brandstof_volgnummer,brandstofverbruik_buiten,brandstofverbruik_gecombineerd,brandstofverbruik_stad,co2_uitstoot_gecombineerd,emissiecode_omschrijving,geluidsniveau_stationair,kenteken,milieuklasse_eg_goedkeuring_licht,nettomaximumvermogen,toerental_geluidsniveau,co2_uitstoot_gewogen,geluidsniveau_rijdend,nominaal_continu_maximumvermogen,uitstoot_deeltjes_licht,roetuitstoot
Benzine,1,4.30,4.80,5.60,109,Euro 5,77,06SXN2,715/2007*692/2008F,50.00,3750,NA,NA,NA,NA,NA
Benzine,1,6.00,7.90,11.20,189,NA,77,51LDK9,NA,107.00,3750,NA,NA,NA,NA,NA
Benzine,1,5.80,7.10,9.40,169,Euro 5,78,2TNK21,715/2007*692/2008A,74.00,3750,NA,71,NA,NA,NA
Benzine,1,4.40,5.10,6.20,118,Euro 5,78,82TXS7,715/2007*566/2011F,63.00,3600,NA,NA,NA,0.00170,NA
Benzine,1,4.80,5.80,7.50,138,Euro 4,81,98SJNJ,70/220*2003/76B,44.00,4125,NA,71,NA,NA,NA
Benzine,1,4.60,5.50,7.10,128,Euro 6,72,GS094G,715/2007*136/2014W,125.00,3750,NA,NA,NA,0.00019,NA
Benzine,1,5.00,5.90,7.50,138,Euro 6,76,RP673Z,715/2007*2015/45W,103.00,3750,NA,72,NA,NA,NA
Benzine,1,5.60,7.10,9.80,167,Euro 5,75,56LGJ2,715/2007*692/2008A,85.00,3750,NA,NA,NA,NA,NA
Diesel,1,4.60,5.20,6.20,135,Euro 5,73,69TDH4,715/2007*692/2008A,82.00,2700,NA,NA,NA,0.00056,0.51
Benzine,1,5.20,6.10,7.70,141,Euro 5,72,81ZRF1,715/2007*566/2011F,125.00,3750,NA,NA,NA,0.00020,NA
Diesel,1,3.90,4.40,5.30,116,Euro 5,77,42TVV2,715/2007*566/2011J,96.00,3000,NA,NA,NA,0.00015,0.50
Benzine,1,4.20,4.80,5.90,109,Euro 6,73,GT772T,715/2007*136/2014W,74.00,3750,NA,NA,NA,0.00141,NA
Benzine,1,4.40,5.10,6.30,119,Euro 4,81,46NFX2,70/220*2003/76B,51.00,4125,NA,72,NA,NA,NA
Benzine,1,3.90,4.50,5.50,104,Euro 6,71,SK950H,715/2007*2016/646W,85.00,3750,NA,70,NA,0.00069,NA
Diesel,1,3.20,3.60,4.30,95,Euro 5,80,27PNP3,715/2007*692/2008A,70.00,3000,NA,NA,NA,0.00012,0.50
Diesel,1,4.70,5.10,5.90,135,Euro 6,70,JP403J,715/2007*136/2014W,200.00,2375,NA,70,NA,NA,0.50
Benzine,1,4.00,4.50,5.40,103,Euro 5,78,41PNB6,715/2007*692/2008F,50.00,3750,NA,70,NA,NA,NA
Benzine,1,4.00,4.80,6.20,112,Euro 6,75,1ZPV35,715/2007*136/2014W,64.00,3750,NA,NA,NA,NA,NA
Benzine,1,5.10,6.00,7.60,139,Euro 6,76,GL816L,715/2007*136/2014W,103.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.10,4.80,5.90,109,Euro 5,77,21XNZ1,715/2007*692/2008F,74.00,3750,NA,NA,NA,0.00168,NA
Benzine,1,4.00,4.50,5.40,103,Euro 5,78,71SNR8,715/2007*692/2008F,50.00,3750,NA,70,NA,NA,NA
Benzine,1,4.50,5.30,6.60,124,Euro 5,84,6KFK29,715/2007*459/2012J,74.00,3750,NA,NA,NA,NA,NA
Benzine,1,5.40,6.50,8.40,153,Euro 5,86,7KZJ63,715/2007*566/2011J,85.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.60,5.80,7.80,139,Euro 4,80,50RGKF,70/220*2002/80B,59.00,4200,NA,71,NA,NA,NA
Benzine,1,3.80,4.30,5.30,100,Euro 6,68,RJ685F,715/2007*136/2014W,66.00,2775,NA,71,NA,0.00180,NA
Benzine,1,3.80,4.30,5.10,99,Euro 5,81,4KPV44,715/2007*630/2012J,50.00,3750,NA,71,NA,NA,NA
Benzine,1,NA,NA,NA,NA,Euro 6,76,GT148P,715/2007*136/2014W,110.00,3750,39.00000,73,NA,NA,NA
Elektriciteit,2,NA,NA,NA,NA,Euro 6,NA,GT148P,715/2007*136/2014W,NA,NA,NA,NA,55.00,NA,NA
Benzine,1,5.90,7.50,10.30,177,Euro 5,76,32HTK2,715/2007*692/2008A,85.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.90,5.60,6.90,132,Euro 5,74,8TNS67,715/2007*459/2012J,74.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.10,4.70,5.70,108,Euro 6,76,PK281J,715/2007*2016/646W,50.00,3750,NA,70,NA,NA,NA
Benzine,1,4.70,5.40,6.60,125,Euro 6,73,KJ999G,715/2007*2015/45W,92.00,3750,NA,70,NA,0.00129,NA
Benzine,1,5.30,6.60,8.70,154,Euro 5,75,57TGK9,715/2007*692/2008A,92.00,3750,NA,NA,NA,NA,NA
Benzine,1,5.00,5.90,7.50,139,Euro 5,77,9XKH31,715/2007*459/2012J,125.00,3750,NA,NA,NA,0.00313,NA
Benzine,1,4.30,5.20,6.80,120,Euro 6,82,NB944B,715/2007*136/2014W,66.00,3750,NA,70,NA,NA,NA
Benzine,1,5.20,6.10,7.80,144,Euro 6,73,PF449P,715/2007*136/2014W,74.00,3750,NA,70,NA,NA,NA
Benzine,1,3.40,3.80,4.50,88,Euro 6,76,RJ920Z,715/2007*2016/646W,51.00,3750,NA,69,NA,NA,NA
Benzine,1,4.20,4.80,5.80,110,Euro 6,73,SP984J,715/2007*2015/45W,92.00,3750,NA,67,NA,0.00218,NA
Benzine,1,6.40,7.90,10.50,190,Euro 4,88,NT842H,70/220*2003/76B,141.00,4388,NA,75,NA,NA,NA
Benzine,1,5.60,7.10,9.50,164,Euro 5,77,00JNH4,715/2007*692/2008F,88.00,3800,NA,NA,NA,0.00137,NA
Benzine,1,3.70,4.30,5.30,99,Euro 5,73,9ZGD96,715/2007*195/2013J,74.00,3750,NA,NA,NA,0.00180,NA
Benzine,1,4.20,4.80,5.90,110,Euro 6,75,4XZP51,715/2007*630/2012W,96.00,3750,NA,NA,NA,0.00052,NA
Benzine,1,5.40,6.70,8.90,159,Euro 4,83,87GZK6,70/220*2003/76B,77.00,4500,NA,71,NA,NA,NA
Benzine,1,4.40,5.10,6.40,115,Euro 6,76,NR132S,715/2007*2015/45W,96.00,3750,NA,72,NA,0.00191,NA
Benzine,1,4.70,5.80,7.70,139,Euro 4,81,29GJT9,70/220*2003/76B,59.00,4200,NA,NA,NA,NA,NA
Benzine,1,4.30,5.10,6.40,119,Euro 5,84,41XJP7,715/2007*566/2011J,63.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.00,4.60,5.60,105,Euro 6,75,1ZTB45,715/2007*195/2013W,60.00,3750,NA,NA,NA,NA,NA
Diesel,1,3.70,4.40,5.60,115,Euro 5,78,31PDB4,715/2007*692/2008A,80.00,3000,NA,NA,NA,0.00049,0.54
Benzine,1,4.20,4.80,5.90,109,Euro 6,73,GF807G,715/2007*136/2014W,74.00,3750,NA,NA,NA,0.00141,NA
Benzine,1,5.00,5.70,7.10,133,Euro 6,73,JF420H,715/2007*136/2014W,140.00,3750,NA,70,NA,0.00014,NA
Benzine,1,5.50,6.70,8.70,159,NA,82,80HSJ5,NA,74.00,4500,NA,NA,NA,NA,NA
Benzine,1,6.50,8.20,11.20,194,Euro 4,77,81ZDLG,70/220*2003/76B,120.00,4275,NA,71,NA,NA,NA
Benzine,1,4.20,4.80,5.90,112,Euro 5,77,3SZJ75,715/2007*630/2012J,74.00,3750,NA,NA,NA,0.00168,NA
Benzine,1,4.60,5.50,7.00,129,Euro 5,78,15LFF3,715/2007*692/2008A,74.00,3750,NA,NA,NA,NA,NA
Benzine,1,6.20,7.50,9.70,177,Euro 4,83,52XBPF,70/220*2003/76B,80.00,4350,NA,71,NA,NA,NA
Benzine,1,5.60,6.20,7.20,143,Euro 6,72,1ZTK59,715/2007*136/2014W,125.00,3750,NA,NA,NA,0.00019,NA
Benzine,1,3.80,4.30,5.10,99,Euro 6,78,KG129G,715/2007*2015/45W,59.00,3750,NA,70,NA,0.00120,NA
Benzine,1,5.40,6.80,9.10,159,Euro 5,72,GJ773T,715/2007*692/2008A,132.00,3800,NA,74,NA,0.00300,NA
Benzine,1,6.10,8.00,11.30,190,Euro 4,83,86XBBG,70/220*2003/76B,92.00,4500,NA,73,NA,NA,NA
Benzine,1,6.00,7.50,10.20,179,Euro 4,81,76LDK7,70/220*2003/76B,74.00,4000,NA,70,NA,NA,NA
Benzine,1,6.10,8.00,11.30,192,Euro 4,81,93TZHX,70/220*2003/76B,114.00,4200,NA,74,NA,NA,NA
Benzine,1,4.90,6.00,7.90,143,Euro 3,82,08RNBX,70/220*2002/80A,54.00,4050,NA,72,NA,NA,NA
Diesel,1,4.90,6.00,8.00,159,Euro 5,77,99TLH1,715/2007*566/2011J,121.00,3000,NA,NA,NA,0.00024,0.50
Benzine,1,4.10,4.60,5.50,108,Euro 4,83,80GHJ5,70/220*2003/76B,50.00,4500,NA,70,NA,NA,NA
Diesel,1,3.20,3.70,4.60,98,Euro 5,77,5KGR23,715/2007*692/2008A,70.00,3000,NA,69,NA,0.00100,0.52
Benzine,1,6.60,8.20,10.80,190,Euro 5,73,98TBD7,715/2007*692/2008F,220.00,3750,NA,NA,NA,0.00295,NA
Benzine,1,4.70,5.60,7.10,129,Euro 6,75,RJ583D,715/2007*2016/646W,110.00,3750,NA,68,NA,0.00025,NA
Diesel,1,4.70,5.20,5.90,136,Euro 5,71,SG898Z,715/2007*630/2012J,150.00,2375,NA,71,NA,0.00079,0.50
Benzine,1,4.20,4.60,5.30,106,Euro 5,77,4THZ78,715/2007*566/2011J,50.00,3750,NA,NA,NA,NA,NA
Benzine,1,3.90,4.50,5.50,106,Euro 4,80,24NNH8,70/220*2003/76B,50.00,4500,NA,71,NA,NA,NA
Benzine,1,6.20,7.90,10.90,186,Euro 5,78,04KXD9,715/2007*692/2008A,132.00,3750,NA,NA,NA,NA,NA
Diesel,1,3.20,3.60,4.30,95,Euro 5,74,89XNK9,715/2007*692/2008A,68.00,3000,NA,NA,NA,0.00053,0.51
