brandstof_omschrijving,brandstof_volgnummer,brandstofverbruik_buiten,brandstofverbruik_gecombineerd,brandstofverbruik_stad,co2_uitstoot_gecombineerd,emissiecode_omschrijving,geluidsniveau_stationair,kenteken,milieuklasse_eg_goedkeuring_licht,nettomaximumvermogen,toerental_geluidsniveau,co2_uitstoot_gewogen,geluidsniveau_rijdend,nominaal_continu_maximumvermogen,uitstoot_deeltjes_licht,roetuitstoot
Benzine,1,4.40,5.10,6.30,119,Euro 4,81,84KXJ9,70/220*2003/76B,51.00,4125,NA,72,NA,NA,NA
Benzine,1,4.80,6.00,8.20,139,Euro 5,75,4KPV10,715/2007*630/2012J,115.00,3750,NA,NA,NA,0.00035,NA
Benzine,1,3.70,4.30,5.30,99,Euro 5,76,90ZNP5,715/2007*459/2012J,74.00,3750,NA,NA,NA,0.00180,NA
Elektriciteit,2,NA,NA,NA,NA,Euro 5,NA,5SHH82,715/2007*692/2008F,NA,NA,NA,NA,29.00,NA,NA
Benzine,1,7.10,6.90,6.60,159,Euro 5,72,5SHH82,715/2007*692/2008F,155.00,3750,NA,73,NA,NA,NA
Diesel,1,3.20,3.60,4.30,95,Euro 5,80,39RPJ4,715/2007*692/2008A,70.00,3000,NA,NA,NA,0.00012,0.50
Benzine,1,5.40,6.70,8.90,159,Euro 4,83,41LKP5,70/220*2003/76B,77.00,4500,NA,71,NA,NA,NA
Benzine,1,4.60,5.50,7.00,129,Euro 5,78,81LLF7,715/2007*692/2008A,74.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.90,5.80,7.30,134,Euro 5,82,61KGN8,715/2007*692/2008F,92.00,3750,NA,NA,NA,0.00144,NA
Benzine,1,6.40,7.80,10.30,187,Euro 4,87,13SFXK,70/220*2003/76B,103.00,4725,NA,73,NA,NA,NA
Diesel,1,4.30,5.30,7.00,139,Euro 5,70,90PGF4,715/2007*692/2008A,100.00,2375,NA,NA,NA,0.00058,0.50
Benzine,1,3.60,4.10,5.00,95,Euro 6,76,PV045R,715/2007*2015/45W,51.00,3750,NA,69,NA,NA,NA
Diesel,1,3.50,3.80,4.20,99,Euro 5,71,NN870F,715/2007*136/2014J,85.00,2700,NA,67,NA,0.00057,0.50
Diesel,1,5.20,6.10,7.70,165,Euro 4,79,80RTKL,70/220*2003/76B,74.00,2625,NA,74,NA,NA,0.50
Benzine,1,4.80,5.80,7.50,136,Euro 5,79,18TRR9,715/2007*566/2011J,88.00,3750,NA,NA,NA,NA,NA
Benzine,1,3.90,4.50,5.50,106,Euro 4,80,34KHR5,70/220*2003/76B,50.00,4500,NA,71,NA,NA,NA
Benzine,1,4.30,5.00,6.10,116,Euro 6,75,HN728V,715/2007*136/2014W,96.00,3750,NA,72,NA,0.00063,NA
Diesel,1,6.00,7.30,9.50,196,Euro 3,78,18PZZD,70/220*2001/100A,74.00,3000,NA,73,NA,0.04100,1.20
Benzine,1,5.00,5.90,7.50,138,Euro 6,76,ND598T,715/2007*2015/45W,103.00,3750,NA,72,NA,NA,NA
Benzine,1,4.40,4.90,5.80,115,Euro 5,81,33RDN8,715/2007*692/2008A,51.00,4125,NA,NA,NA,NA,NA
Benzine,1,5.00,6.10,8.00,143,Euro 5,73,35SVL8,715/2007*692/2008F,88.00,3600,NA,NA,NA,NA,NA
Benzine,2,NA,NA,NA,NA,Euro 6,76,KX625H,715/2007*2016/646W,110.00,3750,40.00000,73,NA,0.00003,NA
Elektriciteit,1,NA,NA,NA,NA,NA,NA,KX625H,NA,NA,NA,NA,NA,55.00,NA,NA
Benzine,1,4.80,5.80,7.50,138,Euro 4,81,27SLHD,70/220*2003/76B,44.00,4125,NA,71,NA,NA,NA
Diesel,1,4.80,5.80,7.50,152,Euro 5,71,6KFS40,715/2007*692/2008A,125.00,2500,NA,NA,NA,0.00164,0.50
Benzine,1,4.80,5.90,7.90,136,Euro 5,78,PX948F,715/2007*692/2008A,88.00,3750,NA,74,NA,NA,NA
Benzine,1,3.90,4.50,5.50,106,Euro 4,80,65LHG6,70/220*2003/76B,50.00,4500,NA,71,NA,NA,NA
Benzine,1,4.20,4.60,5.30,106,Euro 5,77,2ZHN10,715/2007*566/2011J,50.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.30,5.10,6.50,120,Euro 5,84,9SLV67,715/2007*459/2012J,74.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.20,4.90,6.00,114,Euro 5,74,8KTZ72,715/2007*630/2012J,74.00,3750,NA,NA,NA,0.00167,NA
Benzine,1,6.00,7.40,9.90,177,Euro 4,87,64GLJ8,70/220*2003/76B,103.00,4725,NA,73,NA,NA,NA
Benzine,1,4.70,5.90,7.90,138,Euro 5,73,56NLG6,715/2007*692/2008A,103.00,3675,NA,NA,NA,NA,NA
Benzine,1,4.70,5.80,7.70,139,Euro 4,81,37GBF4,70/220*2003/76B,66.00,4200,NA,NA,NA,NA,NA
Benzine,1,6.10,7.50,9.90,180,Euro 4,83,04RDSR,70/220*2002/80B,74.00,4500,NA,73,NA,NA,NA
Diesel,1,3.10,3.40,3.80,89,Euro 6,77,JP765R,715/2007*136/2014W,81.00,2625,NA,70,NA,0.00010,0.51
Benzine,1,4.20,4.80,5.80,110,Euro 6,73,SF317R,715/2007*2015/45W,92.00,3750,NA,67,NA,0.00218,NA
Benzine,1,3.90,4.50,5.50,105,Euro 6,68,7ZBT70,715/2007*136/2014W,66.00,2775,NA,NA,NA,0.00184,NA
Benzine,1,4.90,6.10,8.20,145,Euro 3,82,81RFDH,70/220*2001/100A,54.00,4050,NA,72,NA,NA,NA
Benzine,1,4.40,5.30,6.70,124,Euro 6,74,HN137F,715/2007*136/2014W,88.00,3600,NA,NA,NA,NA,NA
Benzine,1,6.40,7.80,10.30,187,Euro 4,87,79RXDH,70/220*2003/76B,103.00,4725,NA,73,NA,NA,NA
Benzine,1,4.40,4.90,5.80,115,Euro 5,81,99ZLP3,715/2007*692/2008F,51.00,4125,NA,NA,NA,NA,NA
Benzine,1,4.70,5.80,7.70,139,Euro 4,81,62TXRZ,70/220*2003/76B,59.00,4200,NA,71,NA,NA,NA
Benzine,1,4.90,5.80,7.40,135,Euro 6,77,3ZTV81,715/2007*195/2013W,132.00,3750,NA,71,NA,0.00019,NA
Benzine,1,5.20,6.50,8.50,149,Euro 5,79,3KJS49,715/2007*692/2008F,118.00,3750,NA,73,NA,0.00100,NA
Benzine,1,4.30,5.00,6.10,116,Euro 5,73,9SNR52,715/2007*630/2012J,90.00,3750,NA,NA,NA,0.00016,0.50
Benzine,1,3.80,4.30,5.10,99,Euro 6,78,NN687V,715/2007*2015/45W,59.00,3750,NA,70,NA,0.00120,NA
Diesel,1,3.20,3.60,4.20,93,Euro 5,74,09RBT2,715/2007*692/2008A,68.00,3000,NA,NA,NA,0.00053,0.51
Benzine,1,4.80,5.90,7.80,142,Euro 4,81,23TXTP,70/220*2003/76B,66.00,4200,NA,71,NA,NA,NA
Benzine,1,4.00,4.70,5.80,110,Euro 6,82,NV734N,715/2007*136/2014W,66.00,3750,NA,68,NA,NA,NA
Benzine,1,3.80,4.30,5.10,99,Euro 6,76,8ZRB87,715/2007*136/2014W,59.00,3750,NA,NA,NA,0.00120,NA
Benzine,1,3.40,3.80,4.50,88,Euro 5,76,2ZHH21,715/2007*136/2014J,51.00,3750,NA,NA,NA,NA,NA
Benzine,1,5.80,7.60,10.60,180,Euro 4,81,02RHTJ,70/220*2003/76B,80.00,4350,NA,72,NA,NA,NA
Benzine,1,3.80,4.30,5.10,99,Euro 5,75,1TDR98,715/2007*630/2012J,48.00,3375,NA,NA,NA,0.00178,NA
Benzine,1,5.10,6.10,7.90,144,Euro 5,79,87LVX3,715/2007*692/2008F,74.00,4500,NA,NA,NA,NA,NA
Benzine,1,3.90,4.40,5.20,102,Euro 6,76,HX668L,715/2007*2015/45W,50.00,3750,NA,71,NA,NA,NA
Benzine,1,3.40,3.80,4.50,88,Euro 6,76,RD081V,715/2007*2016/646W,51.00,3750,NA,69,NA,NA,NA
Benzine,1,3.90,4.50,5.40,103,Euro 6,72,RT840R,715/2007*136/2014W,77.00,3750,NA,69,NA,0.00240,NA
Benzine,1,4.50,4.40,5.30,102,Euro 6,76,GR340T,715/2007*2015/45W,50.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.70,6.20,8.80,143,Euro 5,77,66XVD9,715/2007*692/2008A,88.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.50,5.30,6.60,124,Euro 5,84,37XNT4,715/2007*566/2011J,74.00,3750,NA,NA,NA,NA,NA
Benzine,1,3.60,4.30,5.40,97,Euro 6,72,PP067N,715/2007*2016/646W,73.50,3750,NA,67,NA,0.00190,NA
Benzine,1,6.00,7.70,10.70,179,Euro 5,74,93SXS1,715/2007*692/2008A,149.00,3750,NA,NA,NA,0.00290,NA
Benzine,1,5.50,6.70,8.80,161,Euro 4,83,71XFHR,70/220*2003/76B,77.00,4500,NA,71,NA,NA,NA
Benzine,1,5.10,6.00,7.60,139,Euro 6,76,HL746F,715/2007*136/2014W,103.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.30,5.10,6.50,120,Euro 5,84,9KXR69,715/2007*459/2012J,74.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.70,6.20,8.80,143,Euro 5,77,60TZJ7,715/2007*692/2008A,88.00,3750,NA,NA,NA,NA,NA
Benzine,1,5.40,6.70,8.80,156,Euro 5,72,23PBS6,715/2007*692/2008F,103.00,3675,NA,NA,NA,NA,NA
Benzine,1,3.80,4.40,5.40,102,Euro 6,83,RZ370S,715/2007*136/2014W,70.00,3750,NA,70,NA,0.00044,NA
Benzine,1,3.70,4.30,5.40,99,Euro 6,73,GZ619R,715/2007*136/2014W,55.00,3750,NA,71,NA,NA,NA
Benzine,1,5.80,7.20,9.60,169,Euro 6,75,6TNN40,715/2007*630/2012W,103.00,3675,NA,NA,NA,NA,NA
Benzine,1,6.20,7.80,10.70,186,Euro 4,87,91ZSFR,70/220*2003/76B,147.00,4500,NA,75,NA,NA,NA
Benzine,1,5.40,6.70,8.90,159,NA,83,8TLB42,70/220*2003/76B,77.00,4500,NA,69,NA,NA,NA
Benzine,1,3.40,3.80,4.50,88,Euro 6,76,RH287L,715/2007*2016/646W,51.00,3750,NA,69,NA,NA,NA
Benzine,1,4.00,4.50,5.40,103,Euro 5,78,61TJT3,715/2007*692/2008F,50.00,3750,NA,70,NA,NA,NA
Benzine,1,3.90,4.50,5.50,106,Euro 4,80,26JKT4,70/220*2003/76B,50.00,4500,NA,71,NA,NA,NA
Diesel,1,5.80,7.10,9.30,187,Euro 5,83,9SNV36,715/2007*630/2012K,81.00,2625,NA,NA,NA,0.00040,0.51
Benzine,1,3.80,4.30,5.10,99,Euro 5,81,5TFB02,715/2007*630/2012J,50.00,3750,NA,71,NA,NA,NA
Benzine,1,4.10,4.70,5.70,109,Euro 6,75,PB634T,715/2007*2016/646W,60.00,3750,NA,71,NA,NA,NA
Benzine,1,4.10,4.60,5.50,108,Euro 4,83,17HPZ2,70/220*2003/76B,50.00,4500,NA,70,NA,NA,NA
Benzine,1,4.90,5.80,7.50,136,Euro 6,72,GF303K,715/2007*630/2012W,125.00,3750,NA,71,NA,NA,NA
Benzine,1,3.70,4.30,5.40,100,Euro 6,74,HB883T,715/2007*136/2014W,66.00,3750,NA,NA,NA,0.00191,NA
Benzine,1,4.60,5.30,6.50,122,Euro 5,77,9TJH20,715/2007*692/2008F,90.00,3750,NA,71,NA,NA,NA
Benzine,1,5.40,6.70,8.80,156,Euro 5,72,46RTK8,715/2007*692/2008F,103.00,3675,NA,NA,NA,NA,NA
Diesel,1,3.10,3.50,4.20,94,Euro 5,80,11NXJ8,715/2007*692/2008A,70.00,3000,NA,NA,NA,0.00012,0.50
Benzine,1,5.30,6.20,7.80,143,Euro 6,72,KP759T,715/2007*2015/45W,88.30,3750,NA,70,NA,0.00268,NA
Benzine,1,4.70,5.90,7.90,138,Euro 5,79,97SPZ4,715/2007*566/2011A,88.00,3750,NA,NA,NA,NA,NA
Benzine,1,7.80,9.70,12.90,231,Euro 3,78,57RPGB,70/220*2002/80A,116.00,4238,NA,73,NA,NA,NA
Benzine,1,3.70,4.10,5.10,94,Euro 6,74,RX360N,715/2007*2015/45W,55.00,3750,NA,71,NA,NA,NA
Benzine,1,4.70,5.90,8.00,136,Euro 5,77,43RTK6,715/2007*692/2008A,77.00,3750,NA,NA,NA,NA,NA
Benzine,1,5.50,6.90,9.20,159,Euro 5,80,13RHV6,715/2007*692/2008A,110.00,3750,NA,NA,NA,0.00175,NA
Diesel,1,3.90,4.50,5.50,119,NA,76,JZ672X,715/2007*566/2011A,81.00,2850,NA,69,NA,0.00046,0.50
Benzine,1,4.30,5.00,6.10,116,Euro 6,75,NJ290J,715/2007*2015/45W,96.00,3750,NA,72,NA,0.00063,NA
Benzine,1,5.50,6.50,8.20,152,Euro 5,70,91XBT7,715/2007*692/2008F,132.00,3750,NA,NA,NA,0.00146,NA
Benzine,1,4.40,4.90,5.80,115,Euro 5,81,51RTS8,715/2007*692/2008A,51.00,4125,NA,NA,NA,NA,NA
Benzine,1,5.30,6.60,8.80,158,Euro 4,81,10HBG1,70/220*2003/76B,85.00,4500,NA,72,NA,NA,NA
Benzine,1,NA,NA,NA,NA,Euro 5,48,5KKV25,715/2007*566/2011F,63.00,NA,27.00000,69,NA,NA,NA
Elektriciteit,2,NA,NA,NA,NA,Euro 5,NA,5KKV25,715/2007*566/2011F,NA,NA,NA,NA,111.00,NA,NA
Benzine,1,6.70,8.50,11.60,204,Euro 4,88,86XPBH,70/220*2003/76B,110.00,4200,NA,74,NA,NA,NA
Benzine,1,4.30,5.00,6.20,117,Euro 5,84,2ZGP11,715/2007*459/2012J,74.00,3750,NA,NA,NA,NA,NA
Benzine,1,5.30,6.10,7.60,144,Euro 5,77,3KXB05,715/2007*459/2012J,88.00,3675,NA,NA,NA,NA,NA
Diesel,1,3.10,3.40,3.80,89,Euro 6,77,PH232B,715/2007*136/2014W,81.00,2625,NA,70,NA,0.00010,0.51
Benzine,1,4.80,5.30,6.30,121,Euro 6,76,RP418H,715/2007*2016/646W,81.00,3750,NA,69,NA,0.00250,NA
Benzine,1,5.30,6.60,8.80,158,Euro 4,81,51LKK8,70/220*2003/76B,85.00,4500,NA,72,NA,NA,NA
Diesel,1,6.90,7.60,8.70,199,Euro 6,93,PN022S,715/2007*2016/427ZD,320.00,2375,NA,76,NA,0.00005,0.30
Benzine,1,6.00,7.30,9.50,172,Euro 4,80,95SPBS,70/220*2003/76B,80.00,4350,NA,72,NA,NA,NA
Benzine,2,4.50,5.50,7.20,129,Euro 5,84,89TTX3,715/2007*692/2008F,63.00,3750,NA,NA,NA,NA,NA
LPG,1,5.60,6.80,8.90,110,Euro 5,84,89TTX3,715/2007*692/2008F,61.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.70,5.90,7.90,142,Euro 4,80,54SFDR,70/220*2003/76B,66.00,4200,NA,71,NA,NA,NA
Benzine,1,5.70,7.20,9.60,168,Euro 5,75,66SVF5,715/2007*692/2008F,103.00,3750,NA,73,NA,NA,NA
Benzine,1,4.40,5.10,6.20,118,Euro 5,78,6KJX75,715/2007*566/2011F,63.00,3600,NA,NA,NA,0.00170,NA
Benzine,1,3.80,4.30,5.10,99,Euro 6,78,NH079S,715/2007*2015/45W,59.00,3750,NA,70,NA,0.00120,NA
Benzine,1,5.60,7.10,9.60,169,Euro 4,83,25HNG1,R/83II-05,92.00,4500,NA,NA,NA,NA,NA
Benzine,1,3.80,4.30,5.10,99,Euro 5,81,3SZG86,715/2007*630/2012J,50.00,3750,NA,71,NA,NA,NA
Benzine,1,3.80,4.30,5.10,98,Euro 6,83,GV788X,715/2007*136/2014W,70.00,3750,NA,69,NA,0.00081,NA
Diesel,1,3.10,3.30,3.80,88,Euro 5,80,6ZLZ81,715/2007*459/2012J,70.00,3000,NA,NA,NA,0.00023,0.50
Elektriciteit,1,NA,NA,NA,NA,NA,NA,HS878K,NA,NA,NA,NA,NA,55.00,NA,NA
Benzine,2,NA,NA,NA,NA,Euro 6,76,HS878K,715/2007*136/2014W,110.00,3750,39.00000,73,NA,NA,NA
Diesel,1,4.10,4.40,4.90,115,Euro 6,68,GF070R,715/2007*136/2014W,110.00,2375,NA,70,NA,0.00016,0.50
Diesel,1,4.30,5.50,7.50,144,Euro 4,75,61ZJTK,70/220*2006/96B,105.00,3150,NA,NA,NA,0.00220,0.50
Benzine,1,4.30,5.40,7.10,124,Euro 5,82,6TRP53,715/2007*566/2011F,60.00,3750,NA,72,NA,NA,NA
Benzine,1,4.50,5.50,7.20,129,Euro 5,84,9TPB59,715/2007*566/2011J,63.00,3750,NA,72,NA,NA,NA
Benzine,1,5.20,6.10,7.70,141,Euro 6,72,9TDX41,715/2007*630/2012W,125.00,3750,NA,NA,NA,0.00020,NA
Benzine,1,4.70,5.90,7.90,138,Euro 5,73,91PPD1,715/2007*692/2008A,103.00,3750,NA,NA,NA,NA,NA
Benzine,1,5.20,6.60,8.90,154,Euro 5,85,25THG8,715/2007*692/2008A,71.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.00,4.50,5.40,103,Euro 5,78,92RHB5,715/2007*692/2008F,50.00,3750,NA,70,NA,NA,NA
Diesel,1,3.90,4.30,5.00,114,Euro 5,72,33ZJD9,715/2007*692/2008A,85.00,2700,NA,NA,NA,0.00189,0.53
Benzine,1,5.60,7.00,9.50,167,NA,83,70KRS6,NA,92.00,4500,NA,NA,NA,NA,NA
Benzine,1,4.00,4.60,5.60,105,Euro 6,75,KG197R,715/2007*195/2013W,60.00,3750,NA,73,NA,NA,NA
Benzine,1,5.40,6.00,7.00,139,Euro 5,72,48ZNX7,715/2007*566/2011F,125.00,3750,NA,NA,NA,0.00019,NA
Benzine,1,3.70,4.30,5.40,99,Euro 6,72,JX610J,715/2007*2015/45W,74.00,3750,NA,69,NA,0.00135,NA
Benzine,1,4.40,5.50,7.30,127,Euro 5,83,95NVR3,715/2007*692/2008A,44.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.80,5.80,7.60,134,Euro 5,77,46NFV7,715/2007*692/2008A,70.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.40,5.50,7.30,127,Euro 5,83,17PJF1,715/2007*692/2008A,44.00,3750,NA,NA,NA,NA,NA
Diesel,1,3.40,3.70,4.20,98,Euro 6,69,HZ508J,715/2007*136/2014W,81.00,2375,NA,69,NA,NA,0.50
Benzine,1,4.00,4.60,5.60,105,Euro 6,75,RB329B,715/2007*2016/646W,60.00,3750,NA,71,NA,NA,NA
Diesel,1,4.80,5.80,7.50,152,Euro 5,71,51HVF9,715/2007*692/2008A,125.00,2500,NA,NA,NA,0.00164,0.50
Benzine,1,5.00,6.10,8.00,146,Euro 4,80,30TXHV,70/220*2003/76B,66.00,4200,NA,71,NA,NA,NA
Benzine,1,6.10,8.00,11.30,190,Euro 4,83,65ZFFG,70/220*2003/76B,92.00,4500,NA,NA,NA,NA,NA
Diesel,1,4.60,5.00,5.60,130,Euro 6,68,HL774X,715/2007*136/2014W,110.00,2375,NA,72,NA,NA,0.50
Benzine,1,5.60,7.10,9.60,169,Euro 4,83,01HLZ5,R/83II-05,92.00,4500,NA,NA,NA,NA,NA
Benzine,1,3.60,4.10,5.10,94,Euro 6,72,KD032Z,715/2007*136/2014W,55.00,3750,NA,71,NA,NA,NA
Benzine,1,5.50,6.90,9.40,159,Euro 5,77,79LPX7,715/2007*692/2008A,88.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.80,5.80,7.60,134,Euro 5,77,76RTJ6,715/2007*692/2008A,70.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.30,5.00,6.20,117,Euro 5,84,5XFL58,715/2007*459/2012J,74.00,3750,NA,NA,NA,NA,NA
Benzine,1,3.40,3.80,4.50,88,Euro 5,76,8ZJR48,715/2007*136/2014J,51.00,3750,NA,NA,NA,NA,NA
Diesel,1,3.20,3.60,4.30,95,Euro 5,80,95PPH6,715/2007*692/2008A,70.00,3000,NA,NA,NA,0.00012,0.50
Benzine,1,4.10,4.90,6.20,114,Euro 6,82,KZ203X,715/2007*136/2014W,66.00,3750,NA,70,NA,NA,NA
Benzine,1,4.60,5.20,6.30,119,Euro 6,74,NF118R,715/2007*2016/646W,110.00,3750,NA,69,NA,NA,NA
Diesel,1,3.00,3.10,3.40,82,Euro 6,75,HV420P,715/2007*136/2014W,70.00,2813,NA,68,NA,0.00030,0.50
Benzine,1,4.40,5.50,7.30,127,Euro 5,83,58RKP6,715/2007*692/2008A,44.00,3750,NA,NA,NA,NA,NA
Benzine,1,5.40,6.70,8.80,156,Euro 5,72,10STX6,715/2007*692/2008F,103.00,3675,NA,NA,NA,NA,NA
Diesel,1,3.80,4.40,5.50,115,Euro 5,76,21XKF6,715/2007*692/2008A,103.00,2375,NA,NA,NA,0.00008,0.50
Benzine,1,3.70,4.10,5.10,94,Euro 6,72,PX241B,715/2007*2015/45W,55.00,3750,NA,71,NA,NA,NA
Benzine,1,6.20,8.40,12.10,197,Euro 5,76,27NBP1,715/2007*692/2008A,162.00,3750,NA,NA,NA,0.00092,NA
Diesel,1,3.20,3.60,4.40,95,Euro 5,73,PP978R,715/2007*459/2012J,70.00,2850,NA,70,NA,0.00060,0.62
Benzine,1,5.30,6.30,8.10,148,Euro 5,77,60XNS2,715/2007*566/2011J,88.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.00,4.60,5.60,105,Euro 6,75,GX522X,715/2007*195/2013W,60.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.20,4.70,5.60,109,Euro 5,77,75XFT7,715/2007*692/2008F,50.00,3750,NA,NA,NA,NA,NA
Benzine,1,6.50,8.20,11.20,194,Euro 4,77,26ZKKP,70/220*2003/76B,120.00,4275,NA,NA,NA,NA,NA
Diesel,1,3.40,3.90,4.80,102,Euro 5,72,GP397K,715/2007*692/2008A,77.00,2375,NA,72,NA,0.00114,0.50
Benzine,1,4.60,5.80,7.90,134,Euro 5,82,98SBH2,715/2007*692/2008A,88.00,3750,NA,NA,NA,NA,NA
Diesel,1,3.20,3.60,4.20,93,Euro 5,74,22RHL9,715/2007*692/2008A,68.00,3000,NA,NA,NA,0.00053,0.51
Benzine,1,5.10,6.00,7.60,139,Euro 5,76,6TGG96,715/2007*630/2012J,103.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.10,4.90,6.20,114,Euro 6,82,JZ697Z,715/2007*136/2014W,66.00,3750,NA,70,NA,NA,NA
Benzine,1,4.10,4.80,5.90,110,Euro 6,73,7ZDT86,715/2007*195/2013W,81.00,3750,NA,68,NA,0.00014,NA
Diesel,1,4.20,4.90,6.00,129,Euro 5,71,KG988B,715/2007*630/2012J,85.00,2700,NA,68,NA,0.00043,0.53
Benzine,1,3.80,4.30,5.10,99,Euro 5,81,70ZTH3,715/2007*566/2011F,50.00,3750,NA,71,NA,NA,NA
Benzine,1,4.40,5.10,6.30,119,Euro 4,81,51KXL9,70/220*2003/76B,51.00,4125,NA,72,NA,NA,NA
Diesel,1,6.90,7.90,9.60,208,NA,84,04SFD4,R/83-05,63.00,2625,NA,72,NA,0.00200,0.54
Benzine,1,3.70,4.30,5.30,99,Euro 5,73,2TSJ76,715/2007*630/2012J,74.00,3750,NA,NA,NA,0.00180,NA
Benzine,1,4.70,5.80,7.70,139,Euro 4,81,70LJP5,70/220*2003/76B,66.00,4200,NA,NA,NA,NA,NA
Benzine,1,5.00,6.10,8.00,143,Euro 5,73,25LRB6,715/2007*692/2008F,88.00,3600,NA,NA,NA,NA,NA
Benzine,1,4.40,4.90,5.80,115,Euro 5,81,65SNR2,715/2007*692/2008A,51.00,4125,NA,NA,NA,NA,NA
Benzine,1,4.40,5.10,6.30,119,Euro 4,81,53KXR3,70/220*2003/76B,51.00,4125,NA,72,NA,NA,NA
Benzine,1,4.50,5.60,7.40,129,Euro 5,82,40STR6,715/2007*692/2008A,60.00,3750,NA,NA,NA,NA,NA
Benzine,1,3.40,3.80,4.50,88,Euro 6,76,PT362B,715/2007*2015/45W,51.00,3750,NA,69,NA,NA,NA
Benzine,1,3.80,4.40,5.40,101,Euro 6,68,NJ506J,715/2007*136/2014W,66.00,2775,NA,71,NA,0.00180,NA
Benzine,1,4.30,5.00,6.10,115,Euro 6,75,GN623B,715/2007*136/2014W,96.00,3750,NA,NA,NA,0.00063,0.51
Benzine,1,4.10,4.90,6.20,114,Euro 6,82,ND481B,715/2007*136/2014W,66.00,3750,NA,70,NA,NA,NA
Diesel,1,3.80,4.20,4.70,109,Euro 5,78,70XJF6,715/2007*692/2008A,68.00,3000,NA,NA,NA,0.00062,0.51
Benzine,1,5.50,6.50,8.10,152,Euro 6,75,KJ761Z,715/2007*136/2014W,125.00,3750,NA,70,NA,0.00260,NA
Benzine,1,4.40,4.90,5.80,115,Euro 6,81,JB334D,715/2007*195/2013W,51.00,4125,NA,72,NA,NA,NA
Benzine,1,3.70,4.10,5.00,95,Euro 5,76,7TNX15,715/2007*630/2012J,50.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.00,4.80,6.20,112,Euro 6,75,NZ009K,715/2007*136/2014W,64.00,3750,NA,68,NA,NA,NA
Benzine,1,4.10,4.80,5.80,112,Euro 6,82,PB896T,715/2007*136/2014W,66.00,3750,NA,68,NA,NA,NA
Benzine,1,3.60,4.10,5.10,94,Euro 6,72,KR896K,715/2007*136/2014W,55.00,3750,NA,71,NA,NA,NA
Benzine,1,4.00,4.50,5.40,103,Euro 5,78,98TLX1,715/2007*692/2008F,50.00,3750,NA,70,NA,NA,NA
Benzine,1,3.70,4.30,5.30,99,Euro 5,79,3SRS23,715/2007*630/2012J,74.00,3750,NA,NA,NA,0.00180,NA
Benzine,1,5.10,6.00,7.60,139,Euro 6,76,JD626P,715/2007*136/2014W,103.00,3750,NA,72,NA,NA,NA
Benzine,1,4.40,5.40,7.10,125,Euro 6,73,PB544R,715/2007*136/2014W,110.00,3400,NA,70,NA,0.00220,NA
Benzine,1,3.90,4.50,5.50,102,Euro 5,74,4TSL66,715/2007*630/2012J,60.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.40,5.10,6.30,119,Euro 4,81,36KSP7,70/220*2003/76B,51.00,4125,NA,72,NA,NA,NA
Benzine,1,5.10,6.70,9.40,155,Euro 5,85,RD104G,715/2007*692/2008A,115.00,3750,NA,71,NA,0.00158,NA
Benzine,1,3.80,4.30,5.10,99,Euro 5,81,67TRV4,715/2007*566/2011F,50.00,3750,NA,71,NA,NA,NA
Benzine,1,5.40,6.70,8.80,155,Euro 5,77,07PNG3,715/2007*692/2008A,115.00,3750,NA,NA,NA,0.00100,NA
Diesel,1,3.70,4.20,5.10,109,Euro 5,71,67TVZ8,715/2007*692/2008A,85.00,2700,NA,NA,NA,0.00080,0.55
Benzine,1,4.20,4.90,6.00,114,Euro 5,74,GH812L,715/2007*136/2014J,74.00,3750,NA,NA,NA,0.00167,NA
Benzine,1,4.90,5.80,7.50,136,Euro 5,72,00SPL8,715/2007*566/2011F,125.00,3750,NA,NA,NA,0.00021,NA
Benzine,1,3.70,4.10,5.10,94,Euro 6,72,PP499D,715/2007*2015/45W,55.00,3750,NA,71,NA,NA,NA
Benzine,1,4.70,5.40,6.60,125,Euro 6,73,PH874P,715/2007*2015/45W,92.00,3750,NA,70,NA,0.00129,NA
Benzine,1,5.30,6.20,7.80,143,Euro 6,72,PR496L,715/2007*2016/646W,88.30,3750,NA,70,NA,0.00268,NA
Benzine,1,4.40,5.50,7.30,127,Euro 5,83,03LZT5,715/2007*692/2008A,44.00,3750,NA,NA,NA,NA,NA
Benzine,1,4.70,5.60,7.10,128,Euro 6,78,RD519P,715/2007*2016/646W,110.00,3750,NA,69,NA,0.00198,NA
