PC,ADRES,PLAATS,OPP,KAMERS,VRGPRIJS,MAKELAAR
1053 PG,Borgerstraat 133 A                                    1,Amsterdam,65,3,35e4,Fred Koot Makelaardij
1024 TN,Alkmaarstraat 197                                    1,Amsterdam,77,3,275e3,Makelaarsland
1079 KS,Kromme-Mijdrechtstraat 71 hs                                    1,Amsterdam,75,4,485e3,Emanuels Makelaars en Taxateurs
1011 JZ,Kloveniersburgwal 61 c                                    1,Amsterdam,62,3,425e3,Jeanine van der Sanden Makelaardij
1057 RA,Van Spilbergenstraat 77 2                                    1,Amsterdam,49,3,275e3,Makelaar1 Internetmakelaar
1095 ME,Mary van der Sluisstraat 286                                    1,Amsterdam,88,3,399e3,ERA Van De Steege
1095 ME,Mary van der Sluisstraat 326                                    1,Amsterdam,75,3,359e3,ERA Van De Steege
1072 XM,Quellijnstraat 7 A                                    1,Amsterdam,104,3,649500,Galman & Versteeg Makelaars o.g.
1107 XD,Wethouder Insingerstraat 74                                    1,Amsterdam,65,3,209e3,Makelaarsbalie Internetmakelaar
1107 WS,Spakenburgstraat 28                                    1,Amsterdam,86,4,237500,WTM Makelaars
1019 BB,Ertskade 97                                    1,Amsterdam,116,4,7e5,Jeanine van der Sanden Makelaardij
1066 XG,Elisabeth Boddaertstraat 6 A                                    1,Amsterdam,117,4,548e3,Makelaarsland
1106 WL,Jan van der Neuthof 37                                    1,Amsterdam,114,5,294500,WTM Makelaars
1033 XX,Schutterweg 50                                    1,Amsterdam,84,4,225e3,123 makelaar o.z.
1081 JL,Amstelveenseweg 842                                    1,Amsterdam,121,5,8e5,Makelaarsland
1104 KK,Krulslaplantsoen 14                                    1,Amsterdam,90,4,247500,"Alex van Keulen, Makelaars & Taxateurs"
1107 SH,Tegelarijpad 30                                    1,Amsterdam,100,4,287500,WTM Makelaars
1067 TX,Marga Klompélaan 10                                    1,Amsterdam,113,4,389e3,Woonstrateeg Makelaars | Tol Makelaardij
1025 NG,Overflakkeestraat 14                                    1,Amsterdam,84,4,375e3,123 makelaar o.z.
1032 CW,Latherusstraat 105                                    1,Amsterdam,113,4,525e3,123 makelaar o.z.
1023 XC,Molengouw 42                                    1,Amsterdam,56,3,325e3,Hoekstra en van Eck Amsterdam Noord
1035 HM,Dwergvinvisstraat 21                                    1,Amsterdam,96,4,275e3,123 makelaar o.z.
1019 TD,Seinwachterstraat 33                                    1,Amsterdam,106,4,52e4,PRO makelaars
1035 PW,Landsmeerderdijk 34                                    1,Amsterdam,125,4,495e3,Dirk Voet Makelaars
1011 RN,Nieuwe Herengracht 37                                    1,Amsterdam,467,13,35e5,Brummer Makelaars en Taxateurs o.g.
