PC,ADRES,PLAATS,OPP,KAMERS,VRGPRIJS,MAKELAAR
1055 GJ,Hofwijckstraat 92                                    1,Amsterdam,134,6,799500,IJisberg Real Estate
1013 ZW,Spaarndammerdijk 243                                    1,Amsterdam,64,3,385e3,Makelaardij Van der Linden Amsterdam
1064 TJ,Slauerhoffstraat 72 2                                    1,Amsterdam,67,3,25e4,Makelaardij Van der Linden Amsterdam
1051 RG,Van der Palmkade 88 +PP                                    1,Amsterdam,102,4,685e3,Smit & Heinen Makelaars en Taxateurs o/z
1019 PE,Bogortuin 125                                    1,Amsterdam,126,3,89e4,Broersma Makelaardij
1013 SN,Assendelftstraat 67                                    1,Amsterdam,87,4,45e4,Makelaardij Van der Linden Amsterdam
1077 PC,Minervalaan 52 2                                    1,Amsterdam,122,4,1045e3,makelaarFRANK
1015 VT,Marnixstraat 50 HS-L                                    1,Amsterdam,31,1,195e3,De Graaf & Groot Makelaars
1072 TR,Eerste Jan van der Heijdenstraat 129 III                                    1,Amsterdam,106,3,695e3,Amsterdam @ Home Makelaars
1108 EW,Leksmondhof 193                                    1,Amsterdam,75,2,215e3,De Gaasp Makelaars
1055 BS,Sanderijnstraat 14 -3                                    1,Amsterdam,57,2,35e4,Amstel Makelaardij o.g.
1098 JS,Archimedesweg 74 H                                    1,Amsterdam,92,4,65e4,SEM makelaars
1051 XH,Van Beuningenstraat 48 D                                    1,Amsterdam,58,2,325e3,Makelaardij Van der Linden Amsterdam
1055 NC,Admiraal De Ruijterweg 382 -3                                    1,Amsterdam,76,3,45e4,Dokter Makelaars
1054 ZG,Jacob van Lennepkade 41 I                                    1,Amsterdam,73,3,595e3,Broersma Makelaardij
1082 TD,Schierstins 81                                    1,Amsterdam,71,3,325e3,Broersma Makelaardij
1106 DK,Voorthuizenstraat 112                                    1,Amsterdam,84,4,245e3,Makelaardij Van der Linden Amsterdam
1055 PK,Haarlemmerweg 491 E                                    1,Amsterdam,80,4,4e5,Makelaardij Van der Linden Amsterdam
1052 KD,Van Oldenbarneveldtstraat 66 II                                    1,Amsterdam,44,2,3e5,Hallie & Van Klooster Makelaardij
1056 CR,Hoofdweg 379 III                                    1,Amsterdam,56,2,325e3,Makelaarsland
1093 CN,Wagenaarstraat 463                                    1,Amsterdam,78,3,375e3,Smit & Heinen Makelaars en Taxateurs o/z
1052 ND,De Clercqstraat 22 II                                    1,Amsterdam,67,3,425e3,Broersma Makelaardij
1016 TC,Marnixstraat 331 hs                                    1,Amsterdam,134,4,769e3,Smit & Heinen Makelaars en Taxateurs o/z
1055 AA,Bos en Lommerplantsoen 85 N                                    1,Amsterdam,33,1,175e3,"Makelaarsgroep AMEO, vestiging A'dam West/Centrum"
1058 SJ,Leiduinstraat 14 hs                                    1,Amsterdam,57,3,4e5,AW Sabel Makelaardij
1056 WV,Bloys van Treslongstraat 17 I                                    1,Amsterdam,53,4,35e4,Thuis in Vastgoed
1051 AB,De Wittenkade 32 B                                    1,Amsterdam,71,3,38e4,Makelaardij Van der Linden Amsterdam
1052 ER,Lodewijk Tripstraat 17 II                                    1,Amsterdam,30,1,195e3,PB Makelaars o.z.
1017 KH,Prinsengracht 508 G                                    1,Amsterdam,49,2,395e3,Broersma Makelaardij
1093 XS,Pieter Nieuwlandstraat 32 -C                                    1,Amsterdam,47,2,28e4,Mooijekind Vleut Makelaars Amsterdam
1107 VJ,Slikkerveerstraat 15                                    1,Amsterdam,67,3,175e3,Hallie & Van Klooster Makelaardij
1082 SH,Asingaborg 151                                    1,Amsterdam,61,3,325e3,Collectief Makelaars
1071 EE,Pieter de Hoochstraat 10 III                                    1,Amsterdam,91,3,8e5,Broersma Makelaardij
1016 DP,Keizersgracht 171 E                                    1,Amsterdam,227,6,145e4,PB Makelaars o.z.
1058 VH,Paramaribostraat 87 I                                    1,Amsterdam,100,4,62e4,Makelaarsland
1054 LM,Overtoom 550 -1                                    1,Amsterdam,81,3,55e4,Amstel Makelaardij o.g.
1051 AM,De Wittenkade 140 I                                    1,Amsterdam,54,3,35e4,Makelaardij Van der Linden Amsterdam
1051 AB,De Wittenkade 30 A                                    1,Amsterdam,39,2,25e4,Makelaardij Van der Linden Amsterdam
1068 SE,Fien de la Mar Straat 9                                    1,Amsterdam,42,2,189e3,Makelaardij Van der Linden Amsterdam
1057 AS,Orteliusstraat 73 hs                                    1,Amsterdam,49,2,325e3,Makelaardij Van der Linden Amsterdam
1056 CJ,Jan van Galenstraat 172 III                                    1,Amsterdam,63,3,31e4,Makelaardij Van der Linden Amsterdam
1057 DD,Hoofdweg 190 III                                    1,Amsterdam,57,4,3e5,Makelaardij Van der Linden Amsterdam
1017 AA,Nieuwe Spiegelstraat                                    1,Amsterdam,360,8,368e4,Broersma Makelaardij
1018 AV,Sarphatistraat 692                                    1,Amsterdam,84,3,449e3,Eefje Voogd Makelaardij
1013 WJ,Oostzaanstraat 251                                    1,Amsterdam,118,4,7e5,Makelaarsland
1108 EW,Leksmondhof 210                                    1,Amsterdam,72,2,185e3,Makelaardij Van der Linden Amsterdam
1012 RV,Nieuwezijds Voorburgwal 310                                    1,Amsterdam,79,2,525e3,Reilingh Makelaardij
1072 TR,Eerste Jan van der Heijdenstraat 129 -C                                    1,Amsterdam,106,3,695e3,VOORMA EN WALCH MAKELAARS IN HET GOOI LAREN
1056 CJ,Jan van Galenstraat 164 I                                    1,Amsterdam,67,3,3e5,Makelaardij Van der Linden Amsterdam
1106 DC,Vianenstraat 109                                    1,Amsterdam,64,2,215e3,Makelaardij Van der Linden Amsterdam
1078 CG,IJselstraat 91 B                                    1,Amsterdam,105,3,625e3,Dokter Makelaars
1013 KK,Nieuwe Wagenstraat 2                                    1,Amsterdam,49,2,325e3,Smit & Heinen Makelaars en Taxateurs o/z
1098 AN,Middenweg 197                                    1,Amsterdam,283,7,1375e3,Heeren Makelaars
1051 GK,Bentinckstraat 20 III                                    1,Amsterdam,44,1,325e3,Makelaardij Van der Linden Amsterdam
1108 EV,Leksmondhof 171                                    1,Amsterdam,68,3,185e3,Makelaardij Van der Linden Amsterdam
1108 BG,Leerdamhof 75                                    1,Amsterdam,87,4,24e4,Makelaardij Van der Linden Amsterdam
1108 BN,Leerdamhof 155                                    1,Amsterdam,80,4,23e4,Makelaardij Van der Linden Amsterdam
1024 BS,Beemsterstraat 492                                    1,Amsterdam,74,4,275e3,Makelaardij Van der Linden Amsterdam
1098 TD,Edisonstraat 35 huis                                    1,Amsterdam,71,4,35e4,Broersma Makelaardij
1106 DE,Vianenstraat 166                                    1,Amsterdam,130,5,3e5,Makelaardij Van der Linden Amsterdam
1094 CB,Timorplein 2 G                                    1,Amsterdam,153,4,759e3,Dokter Makelaars
1016 BS,Herengracht 202 C                                    1,Amsterdam,119,4,95e4,Hoen Makelaars B.V.
1094 XS,Riouwstraat 36                                    1,Amsterdam,77,3,35e4,Makelaar Amsterdam Kuijs Reinder Kakes
1094 KL,Eerste Atjehstraat 8 C                                    1,Amsterdam,58,3,285e3,Makelaar Amsterdam Kuijs Reinder Kakes
1054 XS,Kanaalstraat 204 III                                    1,Amsterdam,64,2,375e3,Von Poll Real Estate
1017 SH,Weteringschans 60 B                                    1,Amsterdam,58,2,35e4,Makelaar Amsterdam Kuijs Reinder Kakes
1106 CZ,Vreelandplein 9                                    1,Amsterdam,53,2,195e3,Makelaardij Van der Linden Amsterdam
1094 HC,Javastraat 93 R                                    1,Amsterdam,60,2,335e3,Makelaar Amsterdam Kuijs Reinder Kakes
1094 XG,Riouwstraat 53 B                                    1,Amsterdam,80,3,375e3,Makelaar Amsterdam Kuijs Reinder Kakes
1055 DE,Merlijnstraat 16 II                                    1,Amsterdam,57,4,3e5,Makelaarsland
1015 SE,Derde Egelantiersdwarsstraat 13 -HS                                    1,Amsterdam,115,4,9e5,Makelaarsgroep o.g. Commissaris
1057 DD,Hoofdweg 182 2                                    1,Amsterdam,47,3,285e3,Makelaardij Van der Linden Amsterdam
1016 HM,Prinsengracht 415 B                                    1,Amsterdam,120,3,9e5,Paul van Dooren Makelaardij
1058 AS,Paramariboplein 2 -2                                    1,Amsterdam,97,6,525e3,Makelaarsgroep o.g. Commissaris
1078 ER,Churchill-laan 148 /hs                                    1,Amsterdam,148,3,1545e3,Carla van den Brink B.V.
1096 GG,Amstelvlietstraat 209                                    1,Amsterdam,180,5,9e5,Brockhoff Makelaars
1094 CW,Delistraat 24 H                                    1,Amsterdam,60,3,375e3,Linger OG
1033 AH,Dierenriem 114                                    1,Amsterdam,78,3,225e3,Linger OG
1033 JK,Nieuwe Maanstraat 3 b                                    1,Amsterdam,77,4,299e3,Linger OG
1103 SK,Glitterstraat 254                                    1,Amsterdam,96,3,275e3,Linger OG
1033 WL,Marskramerstraat 108                                    1,Amsterdam,50,2,2e5,Linger OG
1051 KH,Visseringstraat 21 C                                    1,Amsterdam,117,3,6e5,Linger OG
1017 BA,Beulingstraat 4 F                                    1,Amsterdam,68,2,415e3,Thoma Post Makelaars Amsterdam
1060 NP,Pyreneeën 9                                    1,Amsterdam,200,5,72e4,makelaarFRANK
1017 JA,Kerkstraat 340                                    1,Amsterdam,67,3,695e3,Makelaarsgroep o.g. Commissaris
1103 RL,Geerdinkhof 609                                    1,Amsterdam,95,4,275e3,Linger OG
1035 KG,Buitendijk 2                                    1,Amsterdam,94,4,369e3,Voorma & Millenaar makelaars - taxateurs o.g.
1067 TR,Gerda Brautigamstraat 2                                    1,Amsterdam,100,4,365e3,Apollo Makelaardij Groot Amsterdam
1033 AX,Centaurusstraat 30                                    1,Amsterdam,83,5,35e4,URBAN MAKELAARS AMSTERDAM
1016 RA,Tweede Laurierdwarsstraat 57                                    1,Amsterdam,114,4,995e3,Voorma & Millenaar makelaars - taxateurs o.g.
1060 MV,Kospad 25                                    1,Amsterdam,121,5,425e3,Barnhoorn Vermeer Makelaars o.g.
1082 LT,Arent Janszoon Ernststraat 200                                    1,Amsterdam,132,4,875e3,Von Poll Real Estate
1016 EJ,Keizersgracht 355                                    1,Amsterdam,209,7,198e4,Broersma Makelaardij
1075 BX,Waldeck Pyrmontlaan 26                                    1,Amsterdam,494,13,3975e3,De Graaf & Groot Makelaars
1067 WG,J. Calsstraat 52                                    1,Amsterdam,87,3,29e4,Makelaardij Van der Linden Amsterdam
1023 EE,Oterleekstraat 14                                    1,Amsterdam,64,4,319e3,Nieuw Amsterdams Huys
1011 CP,Nieuwe Ridderstraat 10                                    1,Amsterdam,143,6,106e4,"KNAP Makelaardij Certified Expat Broker, Amsterdam"
1071 SG,Hacquartstraat 17                                    1,Amsterdam,435,13,3875e3,Carla van den Brink B.V.
1012 RT,Nieuwezijds Voorburgwal 284                                    1,Amsterdam,505,10,345e4,Broersma Makelaardij
1012 WL,Singel 377                                    1,Amsterdam,115,5,95e4,Dokter Makelaars
1068 NW,Piet Wiedijkstraat 56                                    1,Amsterdam,75,5,285e3,Makelaar Amsterdam Kuijs Reinder Kakes
1060 MN,Sporadenlaan 83                                    1,Amsterdam,190,6,715e3,Smit & Heinen Makelaars en Taxateurs o/z
1018 VC,Nieuwe Keizersgracht 59                                    1,Amsterdam,324,12,31e5,De Graaf & Groot Makelaars
1066 NK,Herentalsstraat 32                                    1,Amsterdam,175,8,625e3,Von Poll Real Estate
1033 CM,Kleine Zonneplein 16                                    1,Amsterdam,70,2,275e3,Hoekstra en van Eck Amsterdam Noord
1106 ET,Maldenhof 72                                    1,Amsterdam,108,4,3e5,Makelaardij Van der Linden Amsterdam
1066 EN,Osdorperweg 112                                    1,Amsterdam,122,5,599e3,Barnhoorn Vermeer Makelaars o.g.
1071 HH,Willemsparkweg 44                                    1,Amsterdam,391,11,31e5,Broersma Makelaardij
1019 XE,Borneokade 235                                    1,Amsterdam,136,5,825e3,ERA Van De Steege
1057 KB,Slatuinenweg 55                                    1,Amsterdam,90,3,6e5,Hoekstra en van Eck Amsterdam West
1077 GR,Schubertstraat 45                                    1,Amsterdam,306,8,37e5,Makelaarsgroep o.g. Commissaris
1016 EL,Keizersgracht 419                                    1,Amsterdam,186,7,18e5,Montana Makelaardij
1016 AC,Singel 276                                    1,Amsterdam,303,10,265e4,De Nieuwe Amsterdamsche Makelaardij
1083 AM,Nederhoven 29                                    1,Amsterdam,265,12,1695e3,Eefje Voogd Makelaardij
1086 VB,Brigantijnkade 38                                    1,Amsterdam,149,5,65e4,JLG Real Estate
1086 ZJ,IJburglaan 411                                    1,Amsterdam,156,6,525e3,Hallie & Van Klooster Makelaardij
1086 VB,Brigantijnkade 70 PP                                    1,Amsterdam,144,6,595e3,Martens Makelaars
1066 CP,Sloterweg 842                                    1,Amsterdam,185,5,1495e3,Barnhoorn Vermeer Makelaars o.g.
1071 CN,Jan Luijkenstraat 16                                    1,Amsterdam,454,9,52e5,Broersma Makelaardij
1109 BN,Lange Stammerdijk 28                                    1,Amsterdam,283,6,925e3,De Jager Makelaars & Taxateurs OG
1071 DD,Honthorststraat 6 hs                                    1,Amsterdam,175,4,198e4,Broersma Makelaardij
1017 RS,Zieseniskade 13 F                                    1,Amsterdam,36,2,285e3,& Bijleveld makelaardij b.v.
1056 HS,Bestevâerstraat 116 2                                    1,Amsterdam,51,3,275e3,Scholten Makelaars
1033 WG,Marskramerstraat 124                                    1,Amsterdam,183,5,56e4,iBlue Makelaars® | Amsterdam en omstreken
1102 XJ,Dostojevskisingel 33                                    1,Amsterdam,72,3,235e3,iSee Makelaars
1091 ST,Schollenbrugpad 60                                    1,Amsterdam,94,3,585e3,Hoekstra en van Eck Amsterdam Centrum
1082 EV,Koxhorn 10 I                                    1,Amsterdam,108,3,55e4,HHW Makelaars
1011 NX,Waterlooplein 29 D                                    1,Amsterdam,105,3,7e5,Heeren Makelaars
1055 DK,Bos en Lommerweg 31 -II                                    1,Amsterdam,55,3,3e5,Wijkhuizen makelaars o.g. Amsterdam
1018 GD,Sarphatistraat 135 d                                    1,Amsterdam,95,3,525e3,Noorderlicht Makelaars
1072 SN,Van Ostadestraat 59 -I                                    1,Amsterdam,45,2,295e3,De Groot en Compagnons
1074 CC,Govert Flinckstraat 347 II                                    1,Amsterdam,101,3,65e4,Keij & Stefels
1081 JX,Doornburg 105                                    1,Amsterdam,170,3,1085e3,Von Poll Real Estate
1018 VC,Nieuwe Keizersgracht 53 H                                    1,Amsterdam,92,3,725e3,VHM Makelaars Amsterdam
1078 RP,Amsteldijk 111 1                                    1,Amsterdam,124,4,75e4,Voorma & Millenaar makelaars - taxateurs o.g.
1056 KA,Geuzenstraat 39 -Hs                                    1,Amsterdam,47,2,3e5,Geldhof Makelaardij O.G.
1017 AN,Amstel 296 /R                                    1,Amsterdam,43,2,398e3,Carla van den Brink B.V.
1069 TS,Langswater 213                                    1,Amsterdam,62,3,2e5,Hoekstra en van Eck Amsterdam West
1053 WS,Da Costakade 127 c                                    1,Amsterdam,59,2,389e3,Arjen Ketel Makelaars
1012 VH,Singel 127 -III                                    1,Amsterdam,91,3,7e5,PB Makelaars o.z.
1076 KL,Argonautenstraat 41 -1                                    1,Amsterdam,67,3,425e3,B.V. Deltam Makelaardij o.g.
1015 PA,Tuinstraat 119 C                                    1,Amsterdam,77,3,6e5,De Graaf & Groot Makelaars
1064 CK,Burgemeester Hogguerstraat 75                                    1,Amsterdam,45,2,299e3,Broersma Makelaardij
1079 NB,President Kennedylaan 8 III                                    1,Amsterdam,85,4,5e5,Eefje Voogd Makelaardij
1015 GJ,Brouwersgracht 189 3                                    1,Amsterdam,70,3,55e4,ERA Van De Steege Amsterdam - Centrum
1083 DB,Kanteel 43                                    1,Amsterdam,93,3,525e3,AMERSTAD NVM makelaars
1082 MR,Leonard Bernsteinstraat 60 B                                    1,Amsterdam,86,3,725e3,Hoofdstad Makelaars
1075 BZ,Saxen-Weimarlaan 41 boven                                    1,Amsterdam,187,5,2195e3,Broersma Makelaardij
1013 SR,Spaarndammerstraat 17 I                                    1,Amsterdam,47,2,275e3,Hallie & Van Klooster Makelaardij
1054 HX,Overtoom 212 II                                    1,Amsterdam,151,3,9e5,HHW Makelaars
1055 VK,Anna van Burenstraat 1 II                                    1,Amsterdam,49,2,275e3,Martens Makelaars
1078 VW,Dintelstraat 88 I                                    1,Amsterdam,88,4,615e3,Nieuw Amsterdams Huys
1057 DB,Hoofdweg 152 H                                    1,Amsterdam,77,3,469e3,Aardenhout Makelaardij
1095 MB,John Blankensteinstraat 167 -A                                    1,Amsterdam,149,5,649e3,Voogd Makelaardij
1073 BE,Albert Cuypstraat 195 II                                    1,Amsterdam,62,3,375e3,Martens Makelaars
1067 MT,Jan van Duivenvoordestraat 215                                    1,Amsterdam,90,3,325e3,Barnhoorn Vermeer Makelaars o.g.
1053 DS,Kinkerstraat 205 B                                    1,Amsterdam,69,3,415e3,Martens Makelaars
1077 EM,Gerrit van der Veenstraat 106 / III                                    1,Amsterdam,163,8,125e4,Von Poll Real Estate
1054 EV,Roemer Visscherstraat 19                                    1,Amsterdam,356,10,365e4,Carla van den Brink B.V.
1053 TS,Elisabeth Wolffstraat 59 H                                    1,Amsterdam,60,2,375e3,Smit & Heinen Makelaars en Taxateurs o/z
1079 LC,Kromme-Mijdrechtstraat 88 3                                    1,Amsterdam,49,2,3e5,Makelaar Amsterdam Kuijs Reinder Kakes
1095 MN,Leo Hornstraat 301 PP                                    1,Amsterdam,87,3,4e5,HHW Makelaars
1075 VM,Schinkelkade 62 -III                                    1,Amsterdam,56,3,375e3,De Nieuwe Amsterdamsche Makelaardij
1087 KP,Julius Pergerstraat 206                                    1,Amsterdam,81,3,35e4,Amstel Makelaardij o.g.
1015 JT,Goudsbloemstraat 122 A                                    1,Amsterdam,57,2,375e3,Nieuw Amsterdams Huys
1095 MB,John Blankensteinstraat 183 A                                    1,Amsterdam,102,4,55e4,Broersma Makelaardij
1072 BD,Eerste Jacob van Campenstraat 53 hs                                    1,Amsterdam,95,4,685e3,MTH Makelaars
1102 ZP,Dantestraat 118                                    1,Amsterdam,34,1,14e4,Makelaar Amsterdam Kuijs Reinder Kakes
1102 ZP,Dantestraat 126                                    1,Amsterdam,34,1,14e4,Makelaar Amsterdam Kuijs Reinder Kakes
1087 LN,Ben van Meerendonkstraat 241                                    1,Amsterdam,100,3,335e3,Hallie & Van Klooster Makelaardij
1074 JB,Amsteldijk 86 III                                    1,Amsterdam,115,4,65e4,Von Poll Real Estate
1072 SZ,Van Ostadestraat 30 3                                    1,Amsterdam,57,1,345e3,Makelaar Amsterdam Kuijs Reinder Kakes
1074 XH,Sint Willibrordusstraat 7 hs                                    1,Amsterdam,116,4,785e3,De Graaf & Groot Makelaars
1074 AR,Van Woustraat 229 III                                    1,Amsterdam,95,4,55e4,HHW Makelaars
1069 TS,Langswater 172                                    1,Amsterdam,64,3,2e5,Hoekstra en van Eck Amsterdam West
1017 GD,Kerkstraat 111                                    1,Amsterdam,289,6,21e5,Broersma Makelaardij
1094 LC,Tweede Atjehstraat 43 D                                    1,Amsterdam,72,3,45e4,In the City
1019 PE,Bogortuin 221 +PP                                    1,Amsterdam,90,3,499500,Makelaarsland
1015 HB,Gietersstraat 23                                    1,Amsterdam,192,4,145e4,HHW Makelaars
1013 GT,Korte Prinsengracht 50 hs                                    1,Amsterdam,124,4,95e4,Carla van den Brink B.V.
1079 RH,Gaasterlandstraat 40                                    1,Amsterdam,108,4,78e4,Broersma Makelaardij
1053 DR,Kinkerstraat 203 -A                                    1,Amsterdam,69,3,34e4,Hoekstra en van Eck Amsterdam West
1053 DR,Kinkerstraat 199 -B                                    1,Amsterdam,69,3,335e3,Hoekstra en van Eck Amsterdam West
1051 EB,Van Boetzelaerstraat 74 I                                    1,Amsterdam,38,2,27e4,BNV makelaars
1012 CW,Kloveniersburgwal 42 E                                    1,Amsterdam,200,5,1275e3,Hoen Makelaars B.V.
1016 HP,Prinsengracht 485 D                                    1,Amsterdam,164,4,1795e3,Thuis in Vastgoed
1083 HH,De Klencke 89 D+PP                                    1,Amsterdam,63,2,44e4,Peter Bruin Makelaardij - Certified Expat Broker
1013 LA,Vierwindenstraat 15                                    1,Amsterdam,77,4,545e3,WK makelaars
1087 JE,Sem Presserhof 97 PP                                    1,Amsterdam,137,5,45e4,HHW Makelaars
1017 CH,Herengracht 568 boven                                    1,Amsterdam,235,4,175e4,Broersma Makelaardij
1057 AL,Orteliuskade 57 HS                                    1,Amsterdam,109,4,575e3,Hallie & Van Klooster Makelaardij
1012 AE,Prins Hendrikkade 82 G                                    1,Amsterdam,95,3,645e3,De Jager Makelaars & Taxateurs OG
1057 RZ,Hudsonstraat 61 2                                    1,Amsterdam,50,3,295e3,Makelaardij Van der Linden Amsterdam
1076 JC,Van Tuyll van Serooskerkenweg 45 3                                    1,Amsterdam,113,5,75e4,Von Poll Real Estate
1068 VM,President Allendelaan 107                                    1,Amsterdam,98,3,365e3,VHM Makelaars Amsterdam
1015 AE,Singel 112 -B                                    1,Amsterdam,172,5,1545e3,Rappange Makelaardij B.V.
1017 SC,Weteringschans 131 E                                    1,Amsterdam,54,2,375e3,Eefje Voogd Makelaardij
1061 CC,Ernest Staesstraat 41                                    1,Amsterdam,94,4,42e4,Makelaardij Van der Linden Amsterdam
1054 BR,Eerste Constantijn Huygensstraat 41 -l                                    1,Amsterdam,58,3,495e3,Adriaan van den Heuvel makelaars en adviseurs
1071 ND,Johannes Verhulststraat 24 II                                    1,Amsterdam,89,3,785e3,Broersma Makelaardij
1012 VH,Singel 119 D                                    1,Amsterdam,174,5,125e4,Carla van den Brink B.V.
1054 LB,Frederiksstraat 37 III                                    1,Amsterdam,89,3,749e3,Broersma Makelaardij
1011 LM,Nieuwe Uilenburgerstraat 15 F                                    1,Amsterdam,64,2,41e4,Hoofdstad Makelaars
1104 VA,1e Kekerstraat 139                                    1,Amsterdam,99,3,275e3,Makelaardij Van der Linden Amsterdam
1082 KT,Willem van Weldammelaan 125 *                                    1,Amsterdam,197,4,1825e3,Lunshof Makelaardij Amsterdam
1015 CR,Keizersgracht 48 A                                    1,Amsterdam,76,3,699500,Parker & Williams Real Estate
1083 HM,Tommaso Albinonistraat 158                                    1,Amsterdam,180,4,1395e3,Meerdere makelaars betrokken
1013 BX,Westerdoksdijk 449                                    1,Amsterdam,160,5,927930,B.V. Deltam Makelaardij o.g.
1015 BS,Herengracht 96 A                                    1,Amsterdam,282,6,325e4,Carla van den Brink B.V.
1060 NW,Adamello 1                                    1,Amsterdam,70,2,245e3,Barnhoorn Vermeer Makelaars o.g.
1077 GV,Schubertstraat 40 H                                    1,Amsterdam,282,7,2e6,Broersma Makelaardij
1056 HP,Bestevâerstraat 50 H                                    1,Amsterdam,78,3,575e3,Deelen Makelaars Woningen
1071 HM,Willemsparkweg 100 C                                    1,Amsterdam,71,3,625e3,De Graaf & Groot Makelaars
1075 CA,Saxen-Weimarlaan 8 A 2                                    1,Amsterdam,87,3,795e3,Broersma Makelaardij
1082 MR,Leonard Bernsteinstraat 60 C                                    1,Amsterdam,117,3,899e3,"KNAP Makelaardij Certified Expat Broker, Amsterdam"
1061 DJ,Bos en Lommerweg 374                                    1,Amsterdam,191,3,689e3,Voorma & Millenaar makelaars - taxateurs o.g.
1013 KS,Grote Bickersstraat 100                                    1,Amsterdam,248,4,245e4,Booij Makelaardij Amsterdam
1074 CP,Tweede Jan Steenstraat 54 III                                    1,Amsterdam,59,3,425e3,Draijer Makelaardij & Vastgoedbeheer
1061 DJ,Bos en Lommerweg 348                                    1,Amsterdam,107,3,419e3,Linger OG
1032 VV,Kamillestraat 5                                    1,Amsterdam,61,3,275e3,Hoekstra en van Eck Amsterdam Noord
1066 JT,Grimbergenstraat 7                                    1,Amsterdam,112,5,375e3,Streekgoed Makelaardij
1098 EV,Pythagorasstraat 27                                    1,Amsterdam,240,8,1995e3,Hoen Makelaars B.V.
1107 DG,Wethouder Vospad 65                                    1,Amsterdam,100,4,29e4,De Gratis Makelaar
1109 AE,Zandpad-Driemond 31                                    1,Amsterdam,144,5,675e3,Broersma Makelaardij
1011 RM,Nieuwe Herengracht 35                                    1,Amsterdam,311,9,23e5,Von Poll Real Estate
1065 DB,Jacques Veltmanstraat 145                                    1,Amsterdam,115,4,449e3,BenS Makelaars
1017 XL,Frederiksplein 27                                    1,Amsterdam,224,7,1795e3,De Nieuwe Amsterdamsche Makelaardij
1079 LM,Amsteldijk 830                                    1,Amsterdam,170,4,1595e3,Lankhorst Makelaars
1102 JC,Huntum 64                                    1,Amsterdam,200,6,6e5,Van Gent Makelaardij
1033 BX,Kometensingel 88                                    1,Amsterdam,257,6,895e3,123 makelaar o.z.
1077 PM,Minervalaan 116                                    1,Amsterdam,242,4,275e4,Lunshof Makelaardij Amsterdam
1071 NR,De Lairessestraat 3                                    1,Amsterdam,558,15,488e4,Broersma Makelaardij
1087 MK,Jaap Speyerstraat 40                                    1,Amsterdam,131,5,635e3,Zelfverkopen.nl
1057 JD,Chasséstraat 14 III                                    1,Amsterdam,73,3,445e3,Voorma & Millenaar makelaars - taxateurs o.g.
1053 LN,Nassaukade 304 III                                    1,Amsterdam,53,2,35e4,De Graaf & Groot Makelaars
1091 MZ,Tilanusstraat 346 huis                                    1,Amsterdam,74,3,525e3,De Graaf & Groot Makelaars
1071 HK,Willemsparkweg 64 huis                                    1,Amsterdam,257,7,1845e3,Broersma Makelaardij
1013 LL,Prinseneiland 27 HS                                    1,Amsterdam,84,3,635e3,De Nieuwe Amsterdamsche Makelaardij
1102 CE,Hoogoord 102                                    1,Amsterdam,95,4,265e3,Makelaardij Amsterdam Zuidoost B.V.
1057 AD,Orteliuskade 26 II                                    1,Amsterdam,55,2,325e3,Marina van Schaik Makelaardij O.G.
1075 BW,Waldeck Pyrmontlaan 16 HS                                    1,Amsterdam,300,7,205e4,Broersma Makelaardij
1073 TX,Van Ostadestraat 306 III+IV                                    1,Amsterdam,88,4,625e3,De Graaf & Groot Makelaars
1056 TM,Cornelis Dirkszstraat 11 D6                                    1,Amsterdam,79,3,45e4,HB Makelaardij B.V.
1057 SC,Hudsonstraat 109 III                                    1,Amsterdam,51,3,3e5,BMP Wonen
1079 TT,Trompenburgstraat 107 A H                                    1,Amsterdam,65,3,45e4,HHW Makelaars
1072 XB,Daniël Stalpertstraat 69 I                                    1,Amsterdam,84,3,535e3,Voorma & Millenaar makelaars - taxateurs o.g.
1078 GA,Churchill-laan 268 II                                    1,Amsterdam,103,3,599e3,Voorma & Millenaar makelaars - taxateurs o.g.
1071 AK,Vossiusstraat 60                                    1,Amsterdam,198,7,26e5,De Graaf & Groot Makelaars
1016 NC,Rozengracht 36 IV                                    1,Amsterdam,54,3,385e3,Broersma Makelaardij
1072 VX,Gerard Doustraat 98 1-V                                    1,Amsterdam,32,2,275e3,Amstel Makelaardij o.g.
1058 DE,Postjeskade 1                                    1,Amsterdam,58,3,359e3,TIP makelaar
1018 HL,Compagniestraat 60                                    1,Amsterdam,51,2,289e3,Collectief Makelaars
1058 SJ,Leiduinstraat 18 -HS                                    1,Amsterdam,82,3,55e4,B.V. Deltam Makelaardij o.g.
1071 DA,Paulus Potterstraat 24 - B                                    1,Amsterdam,242,4,3e6,De Graaf & Groot Makelaars
1075 BW,Waldeck Pyrmontlaan 16 huis                                    1,Amsterdam,229,7,205e4,Broersma Makelaardij
1078 HG,Maasstraat 93 -1                                    1,Amsterdam,92,4,575e3,B.V. Deltam Makelaardij o.g.
1071 VE,Roelof Hartstraat 15 -D                                    1,Amsterdam,72,3,45e4,& Bijleveld makelaardij b.v.
1059 SR,Woestduinstraat 115 I                                    1,Amsterdam,56,4,375e3,AW Sabel Makelaardij
1018 CN,Plantage Doklaan 32 H                                    1,Amsterdam,80,4,599e3,De Nieuwe Amsterdamsche Makelaardij
1022 AB,Nieuwendammerkade 24 D                                    1,Amsterdam,69,2,299e3,De Haas makelaars
